Temperature,Frequency
41.1,1267.97
44.2,2176.51
40.4,1407.74
42.2,2525.95
47.0,2456.06
47.0,2545.92
46.3,2086.66
42.9,788.74
44.5,2186.5
43.8,2146.56
43.5,2226.43
48.4,2476.03
47.1,2286.34
44.8,2356.22
42.8,2236.42
42.4,2256.38
47.9,2675.71
43.5,2306.3
44.0,2066.69
45.7,2226.43
44.8,2346.24
50.1,2615.81
43.3,1078.27
44.6,988.42
42.7,1307.9
42.6,1407.74
46.3,2625.79
43.7,1128.19
42.9,1048.32
42.4,1118.21
60.3,1138.18
67.3,1397.76
61.2,1068.29
53.6,1168.13
58.4,1138.18
58.1,838.66
61.9,1367.81
58.8,1257.98
58.3,2166.53
57.8,2326.27
63.3,2186.5
67.3,2346.24
63.9,2246.4
61.8,2206.46
60.5,2156.54
67.5,2126.59
68.5,2356.22
62.0,2226.43
60.0,2046.72
61.0,1916.93
64.0,2316.29
66.6,2336.26
66.5,978.43
66.4,1018.37
63.3,1108.22
68.2,1238.02
64.7,1647.36
69.9,1138.18
70.1,1307.9
65.3,1297.92
74.3,1257.98
71.9,1248.0
74.5,1008.38
73.9,1138.18
61.6,968.45
54.8,978.43
54.3,1277.95
53.2,1058.3
54.4,2116.61
53.5,2026.75
53.0,1996.8
51.7,1807.1
52.0,1986.82
53.3,1936.9
53.5,2046.72
52.2,1996.8
51.4,1657.34
51.2,1737.22
50.3,1956.86
50.7,1797.12
49.8,1707.26
49.7,1717.25
50.7,818.69
51.1,918.53
50.4,788.74
50.7,798.72
48.7,1677.31
50.6,828.67
49.7,848.64
50.2,898.56
47.7,1607.42
47.1,1257.98
47.7,1457.66
47.5,928.51
48.3,968.45
47.7,838.66
47.3,1277.95
46.8,868.61
47.5,818.69
47.2,1837.05
46.8,1867.01
47.2,1787.14
47.2,1867.01
47.5,1767.17
47.2,1757.18
47.1,1807.1
47.2,1717.25
47.0,1787.14
47.2,1617.41
48.0,1767.17
47.1,1577.47
47.3,1707.26
47.1,988.42
47.0,878.59
47.7,818.69
47.7,968.45
47.2,1307.9
47.2,848.64
47.6,1018.37
47.4,808.7
46.7,1068.29
46.2,798.72
46.5,778.75
46.7,928.51
46.8,938.5
47.2,958.46
47.1,1028.35
47.2,858.62
46.7,1058.3
46.3,898.56
46.4,1847.04
47.0,1936.9
47.1,1837.05
47.9,1857.03
46.7,1896.96
47.6,1896.96
47.5,1787.14
47.5,1727.23
47.5,1577.47
48.0,1597.44
47.6,1657.34
46.8,1787.14
47.2,898.56
47.7,918.53
47.6,958.46
47.9,1028.35
46.8,1008.38
48.0,858.62
47.2,1128.19
47.4,1038.34
46.8,1128.19
47.2,1567.49
46.9,818.69
47.0,958.46
47.6,818.69
47.4,1437.69
47.4,968.45
47.5,908.54
47.4,878.59
47.8,758.78
47.7,1547.52
47.2,1807.1
47.2,1807.1
47.3,1727.23
47.2,1876.99
46.4,1577.47
47.2,1797.12
46.9,1467.65
47.3,1737.21
47.2,1697.28
47.7,1697.28
47.2,878.59
47.2,728.83
47.5,868.61
47.1,848.64
47.3,1717.25
48.4,868.61
47.2,1058.3
47.2,858.62
47.3,838.66
47.3,1547.52
47.4,1837.06
47.3,998.4
46.8,1198.08
47.2,958.46
46.8,848.64
47.3,978.43
47.2,1128.19
47.0,848.64
46.9,1627.39
47.5,1886.98
47.5,1847.04
47.3,1847.04
47.2,1687.29
47.3,1896.96
47.2,1717.25
46.3,1876.99
47.4,1677.31
46.5,1797.12
47.1,1876.99
46.5,828.67
47.0,878.59
47.3,828.67
47.1,828.67
47.5,1797.12
46.9,1267.97
46.8,828.67
46.7,888.58
46.7,938.5
46.6,788.74
